X,Y,bAddress,Address,Title
-123.133224,49.239152,VanDusen Botanical Garden,VanDusen Botanical Garden,Horizontal Column
-123.130676,49.240287,VanDusen Botanical Garden,VanDusen Botanical Garden,Travertine Sculpture 75
-123.130122,49.239103,VanDusen Botanical Garden,VanDusen Botanical Garden,Between
-123.132656,49.238238,VanDusen Botanical Garden,VanDusen Botanical Garden,Woman
-123.131514,49.238951,VanDusen Botanical Garden,VanDusen Botanical Garden,Earth, Air and Sea
-123.133001,49.239524,VanDusen Botanical Garden,VanDusen Botanical Garden,In Memoriam of Teilhard de Chardin
-123.08681,49.281382,Fisherman's Credit Union,Fisherman's Credit Union,Untitled (Fisherman's Union Building)
-123.113646,49.281357,Main Post Office,Main Post Office,Untitled
-123.073144,49.248619,median,median,Flower Totems
-123.089098,49.210882,Wilkinson Company,Wilkinson Company,Horizons
-123.132034,49.24005,VanDusen Botanical Garden,VanDusen Botanical Garden,Developing Form
-123.132513,49.239702,VanDusen Botanical Garden,VanDusen Botanical Garden,Meta Morphosis
-123.11782,49.286242,Bentall Bldg.,Bentall Bldg.,Fountain of the Pioneers
-123.12202,49.283618,,,Symbols of the Cuneiforms
-123.112827,49.280453,Queen Elizabeth Theatre,Queen Elizabeth Theatre,Pacific Gateway 100
-123.11244,49.280413,Queen Elizabeth Playhouse,Queen Elizabeth Playhouse,Untitled (painting)
-123.177742,49.195243,Vancouver Intl. Airport,Vancouver Intl. Airport,The Jade Canoe
-123.043716,49.281365,Pacific National Exhibition Grounds,Pacific National Exhibition Grounds,The Miracle Mile
-123.138349,49.295666,Lost Lagoon,Lost Lagoon,Jubilee Fountain
-123.042774,49.284136,Hastings Park,Hastings Park,Christopher Columbus
-123.100841,49.25734,Heritage Hall,Heritage Hall,Untitled (mural)
-123.119053,49.298222,Brockton Oval,Brockton Oval,Harry Jerome
-123.121191,49.263188,Heather Medical Bldg.,Heather Medical Bldg.,Caduceus
-123.099,49.27401,Thornton Park,Thornton Park,Marker of Change
-123.116076,49.283662,Canadian Imperial Bank of Commerce,Canadian Imperial Bank of Commerce,B.C. Beginning
-123.144484,49.276588,"Vancouver City Archives Vanier Park",Vancouver City Archives Vanier Park,Major James Skitt Matthews (1878 - 1970)
-123.143186,49.264775,Postal Station D,Postal Station D,Untitled (Postal Station D)
-123.129578,49.239145,VanDusen Botanical Garden,VanDusen Botanical Garden,Fisherman (Hauling in the Net)
-123.130191,49.238474,VanDusen Botanical Garden,VanDusen Botanical Garden,Untitled (wolf)
-123.130023,49.238533,VanDusen Botanical Garden,VanDusen Botanical Garden,Puttino (Boy with Dolphin)
-123.120121,49.285633,Discovery Park,Discovery Park,The Builders
-123.120043,49.285603,Discovery Park,Discovery Park,Vessel
-123.143704,49.284323,English Bay,English Bay,Inukshuk
-123.129379,49.238416,VanDusen Botanical Garden,VanDusen Botanical Garden,Al of the Gispudwada (Black Bear Crest of the Killer Whale Tribe)
-123.129426,49.23847,VanDusen Botanical Garden,VanDusen Botanical Garden,The Mosquito People
-123.116037,49.287198,Daon Building,Daon Building,Vancouver Vertical
-123.253421,49.264387,Scarf (Education) Bldg.,Scarf (Education) Bldg.,Untitled (natural forms)
-123.244446,49.254687,Thunderbird Stadium,Thunderbird Stadium,Thunderbirds
-123.122389,49.285715,MacMillan Bloedel Bldg.,MacMillan Bloedel Bldg.,Primavera
-123.124017,49.280592,Law Courts,Law Courts,Themis, Goddess of Justice
-123.131253,49.269947,Granville Island,Granville Island,Untitled (crane)
-123.134231,49.268934,Granville Island Pathway,Granville Island Pathway,Untitled (metal forms)
-123.099243,49.284804,North Main Street overpass to Port Authority,North Main Street overpass to Port Authority,Untitled (Shanghai lions)
-123.120009,49.284181,Cathedral Place,Cathedral Place,Navigation Device: Origin Unknown
-123.122348,49.260248,Vancouver General Hospital,Vancouver General Hospital,BC Nurses Memorial - 'When Humans Bleed'
-123.247892,49.264482,Woodward Bio-Medical Library,Woodward Bio-Medical Library,George VI
-123.247513,49.263887,MacDonald (Dentistry) Bldg.,MacDonald (Dentistry) Bldg.,Untitled
-123.250955,49.261089,MacMillan Building,MacMillan Building,Man About to Plant Alfalfa
-123.148075,49.27753,Vancouver Maritime Museum,Vancouver Maritime Museum,Rand and Edgar Mural (Maritime Museum Mural)
-123.122147,49.2874,,,Transformation
-123.085648,49.264181,House of Happiness,House of Happiness,House of Happiness Totem Pole
