X,Y,bAddress,Address,Title
-123.107442608386,49.2108943771512,Canadian Tire,Canadian Tire,Infinite Tire
-123.110691911503,49.2794044973364,,,Writing to You
-123.066696783512,49.252819255574,Porter Homes,Porter Homes,Peek-a-Boo
-123.113935739267,49.2613158916217,Vancouver City Hall,Vancouver City Hall,Untitled (Mural)
-123.127562840853,49.274589638616,"'The Mark' on Seymour at Pacific",'The Mark' on Seymour at Pacific,TAG
-123.106049619997,49.2810814509183,Skwachàys Healing Lodge,Skwachàys Healing Lodge,Skwachàys Healing Lodge Pole
-123.104816411458,49.2807875522635,,,Century Winds of Change Mural
-123.062159063788,49.2556195510748,Trout Lake Community Center,Trout Lake Community Center,People of the Dawn
-123.050391949246,49.2569378465123,Italian Cultural Centre,Italian Cultural Centre,Friuli Mosaic
-123.044390614114,49.2274099234492,Killarney Community Centre,Killarney Community Centre,The Eyes of the People
-123.105572352575,49.2699395134282,Manitoba Plaza,Manitoba Plaza,Refined
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,Simon Fraser
-123.044390614114,49.2274099234492,Killarney Community Centre,Killarney Community Centre,Journey & Protector
-123.113935739267,49.2613158916217,Vancouver City Hall,Vancouver City Hall,Salish Sea Waters
-123.08464579286,49.2789348991504,Russian Hall,Russian Hall,Russian Hall Mural
-123.123326449381,49.2799917538749,Manulife Tower,Manulife Tower,Dichroic Vancouver
-123.125040050903,49.2770551706644,Vancouver International Film Festival Centre,Vancouver International Film Festival Centre,Moving Pictures
-123.103282272368,49.2797561341366,Chinese Cultural Centre,Chinese Cultural Centre,China Gate
-123.120971525984,49.2892581658509,One Harbour Green,One Harbour Green,One in Light
-123.08035953817,49.2633030903104,Vancouver Community College: Broadway Campus,Vancouver Community College: Broadway Campus,Double Blind
-123.110097741722,49.2837806793873,Harbour Centre Parkade,Harbour Centre Parkade,The Belonging Action
-123.110029006403,49.2837321709141,Harbour Centre Parkade,Harbour Centre Parkade,The Belonging Action
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,Tools of the Fraser River
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,Salish Gifts
-123.113935739267,49.2613158916217,Vancouver City Hall,Vancouver City Hall,Kapok Flower Sculpture
-123.114572880139,49.2790694578082,CBC Vancouver Broadcast Centre Plaza,CBC Vancouver Broadcast Centre Plaza,The Wall at CBC: down. town.
-123.115975696052,49.2099789677573,Marine Gateway,Marine Gateway,South Lobby
-123.115975771878,49.2099468185134,Marine Gateway,Marine Gateway,South Lobby
-123.108197006553,49.2447733739421,Hillcrest Centre,Hillcrest Centre,Grand Entry
-123.106820718977,49.2429331857656,Hillcrest Centre,Hillcrest Centre,Grand Entry
-123.073771673591,49.2756486049575,Britannia Community Services Centre,Britannia Community Services Centre,Home
-123.100330646819,49.2791489153819,601-627 Main Street,601-627 Main Street,The Unseen
-123.113935739267,49.2613158916217,Vancouver City Hall,Vancouver City Hall,Untitled, 2016
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,Fraser River Stories
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,Ebb and Flow
-123.115976004173,49.2100109097238,Marine Gateway,Marine Gateway,SWELL
-123.115975696052,49.2099789677573,Marine Gateway,Marine Gateway,North Lobby
-123.115975771878,49.2099468185134,Marine Gateway,Marine Gateway,North Lobby
